TIPO_VENTA,DOCUMENTO,CORRELATIVO,CODIGO,RAZON_SOCIAL,TIPO_CLIENTE,SKU,ARTICULO,G_PROVEEDOR,ACCTCODEN2,N1,N11,N2,N21,N3,N31,N4,N41,COMERCIAL,ALM,CANT,U#M#,T/C,COSTO,C_TOTAL,P_UNIT,P_TRAS_DESC,V_TOTAL,UTILIDAD
Venta Stock,01 - FACTURA,F001-0023912,C000132,SAILORPAINT S.A.,Nacional,A000367,DCC YELLOW 1002 - 25 KG,DCL,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,375,KG,1,"4,431","1661,625","4,84","4,84",1815,"153,375"
Venta Stock,01 - FACTURA,F001-0023909,C000415,"PYXIS INDUSTRIAS, COMERCIO Y REPRESENTACIONES S.A.",Nacional,A000169,BYK P104 - 185 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,11,25,KG,1,"7,89","197,25","13,9","13,9","347,5","150,25"
Venta Stock,01 - FACTURA,F001-0023894,C000132,SAILORPAINT S.A.,Nacional,A000153,BYK 358N - 25 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,25,KG,1,"16,33","408,25","24,12","24,12",603,"194,75"
Venta Stock,01 - FACTURA,F001-0023894,C000132,SAILORPAINT S.A.,Nacional,A000182,DISPERBYK 108 - 190 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,11,50,KG,1,"5,799","289,95","10,4","10,4",520,"230,05"
Venta Stock,01 - FACTURA,F001-0023893,C000095,PINTURAS IMPERIAL CIA. LTDA.,Nacional,A000194,DISPERBYK 2155 - 25 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,50,KG,1,"24,609","1230,45","36,5","36,5",1825,"594,55"
Venta Stock,01 - FACTURA,F001-0023889,C000024,CIPEQ CIA. LTDA.,Nacional,A000320,DISPERBYK 2010 - 200 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,400,KG,1,"8,366","3346,4","11,1","11,1",4440,"1093,6"
Venta Stock,01 - FACTURA,F001-0023888,C000107,PINTURAS ECUATORIANAS S.A. PINTUCO,Nacional,A000141,BYK 066N - 20 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,20,KG,1,"12,881","257,62","18,4","18,4",368,"110,38"
Venta Stock,01 - FACTURA,F001-0023882,C000190,PINTURAS LIDER PINLID CIA. LTDA.,Nacional,A001225,CLAYTONE APA - 12.5 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,25,KG,1,"5,154","128,85","7,4","7,4",185,"56,15"
Venta Stock,01 - FACTURA,F001-0023875,C000095,PINTURAS IMPERIAL CIA. LTDA.,Nacional,A001077,BYKANOL A - 20 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,10,40,KG,1,"5,763","230,52","11,9","11,9",476,"245,48"
Venta Stock,01 - FACTURA,F001-0023857,C000034,ECUABARNICES S.A.,Nacional,A001397,BYK 390 - 170 KG,BYK ADDITIVES,70,N1000008,Ecuador,N2050000,B2,N3050100,"Pinturas, Tintas y Adhesivos",N4050101,Pinturas,Esteban Flores G.,907,340,KG,1,"13,176","4479,84","16,99","16,99","5776,6","1296,76"
